wupin	ipa
ciau ngou33	ʨiæ ŋəu33
ciau pie	ʨiæ piɪ
ciau pie40	ʨiæ piɪ4
ciau sa33	ʨiæ sɑ33
ciau teq[52]3	ʨiæ təʔ52
ciau tshiq phie	ʨiæ ʦʰiəʔ pʰiɪ
ciau tsy	ʨiæ ʦɿ
ciau1	ʨiæ44
ciau3	ʨiæ51
ciau44 syu51	ʨiæ44 sʮ51
ciau5	ʨiæ523
cie ghaon	ʨiɪ ɦɑ̃
cie gnieu ho	ʨiɪ ȵiʏ xo
cie ka	ʨiɪ kɑ
cie ka ou	ʨiɪ kɑ əu
cie khou	ʨiɪ kʰəu
cie le	ʨiɪ lᴇ
cie siau	ʨiɪ siæ
cie siau tshe	ʨiɪ siæ ʦʰᴇ
cie sou	ʨiɪ səu
cie tsen	ʨiɪ ʦən
cie tsy	ʨiɪ ʦɿ
cie zan	ʨiɪ zã
cie1	ʨiɪ44
cie3	ʨiɪ51
cie44	ʨiɪ44
cie44 tshe523	ʨiɪ44 ʦʰᴇ523
cie5	ʨiɪ523
cieo3	?
cieu lie gue	ʨiʏ liɪ guᴇ
cieu lon tshi syu	ʨiʏ loŋ ʦʰi sʮ
cieu nga[52]3	ʨiʏ ŋɑ52
cieu sen chioe	ʨiʏ sən ʨʰiø
cieu sen i	ʨiʏ sən i
cieu tshe ho	ʨiʏ ʦʰᴇ xo
cieu tshe[52]1	ʨiʏ ʦʰᴇ52
cieu tshy[52]3 zeq yon2[51]	ʨiʏ ʦʰɿ52 zəʔ ɦioŋ51
cieu waon[52]3	ʨiʏ ɦuɑ̃52
cieu1	ʨiʏ44
cieu3	ʨiʏ51
cieu5	ʨiʏ523
cih cie tsy	ʨiəʔ ʨiɪ ʦɿ
cih mi mau	ʨiəʔ mi mæ
cih tsyu	ʨiəʔ ʦʮ
cin chie la chie4440	ʨin ʨʰiɪ lɑ ʨʰiɪ444
cin chioe	ʨin ʨʰiø
cin cin tshe	ʨin ʨin ʦʰᴇ
cin cin tshe440	ʨin ʨin ʦʰᴇ44
cin cioq40	ʨin ʨioʔ4
cin ciuq pin	ʨin ʨyəʔ pin
cin de	ʨin dᴇ
cin de40	ʨin dᴇ4
cin gheu	ʨin ɦøʏ
cin ghou	ʨin ɦəu
cin gni ghou	ʨin ȵi ɦəu
cin gnie	ʨin ȵiɪ
cin gnin ho	ʨin ȵin xo
cin gnioq be tsy chi44420	ʨin ȵioʔ bᴇ ʦɿ ʨʰi4442
cin ho tshe	ʨin xo ʦʰᴇ
cin hou tie	ʨin xəu tiɪ
cin jiq	ʨin ʥiəʔ
cin ka ie	ʨin kɑ iɪ
cin ka koq	ʨin kɑ koʔ
cin kau moe deu	ʨin kæ mø døʏ
cin koe	ʨin kø
cin kue	ʨin kuᴇ
cin li	ʨin li
cin lie diau	ʨin liɪ diæ
cin peq ghuoe	ʨin pəʔ ɦuø
cin peq yu	ʨin pəʔ ɦy
cin piq	ʨin piəʔ
cin po	ʨin po
cin poe	ʨin pø
cin se	ʨin sᴇ
cin sen mo kaeq[52]340	ʨin sən mo kaʔ52
cin shi	ʨin ɕi
cin sou phie	ʨin səu pʰiɪ
cin sy deu tshaon in	ʨin sɿ døʏ ʦʰɑ̃ in
cin thaon	ʨin tʰɑ̃
cin tsau	ʨin ʦæ
cin tsau tie440	ʨin ʦæ tiɪ44
cin tseu	ʨin ʦøʏ
cin tshaeq	ʨin ʦʰaʔ
cin tshe	ʨin ʦʰᴇ
cin tsin ng440	ʨin ʦin ŋ44
cin tsy40	ʨin ʦɿ4
cin waon	ʨin ɦuɑ̃
cin zeq	ʨin zəʔ
cin zie pau	ʨin ziɪ pæ
cin zy paon	ʨin zɿ pɑ̃
cin1	ʨin44
cin3	ʨin51
cin44	ʨin44
cin5	ʨin523
cin523	ʨin523
cioe deu40	ʨiø døʏ4
cioe kuaon tiq waeq4440	ʨiø kuɑ̃ tiəʔ ɦuaʔ444
cioe mie	ʨiø miɪ
cioe sin tshe[52]30	ʨiø sin ʦʰᴇ52
cioe syu tshau	ʨiø sʮ ʦʰæ
cioe tsy shian	ʨiø ʦɿ ɕiã
cioe1	ʨiø44
cioe3	ʨiø51
cioe5	ʨiø523
cion1	ʨioŋ44
cion3	ʨioŋ51
cion5	ʨioŋ523
cion523	ʨioŋ523
cioq ho	ʨioʔ xo
cioq ho zo	ʨioʔ xo zo
cioq tsy5[51]	ʨioʔ ʦɿ51
cioq7	ʨioʔ43
ciq bin	ʨiəʔ bin
ciq ghon	ʨiəʔ ɦoŋ
ciq gnie	ʨiəʔ ȵiɪ
ciq gniq tsy440	ʨiəʔ ȵiəʔ ʦɿ44
ciq huen4[23]	ʨiəʔ xuən23
ciq kaeq44	ʨiəʔ kaʔ44
ciq kaon4[23]	ʨiəʔ kɑ̃23
ciq ke	ʨiəʔ kᴇ
ciq keq lou tou4420	ʨiəʔ kəʔ ləu təu442
ciq kuen	ʨiəʔ kuən
ciq kueq die[52]1	ʨiəʔ kuəʔ diɪ52
ciq pa di shion	ʨiəʔ pɑ di ɕioŋ
ciq pin4[23]	ʨiəʔ pin23
ciq tsen	ʨiəʔ ʦən
ciq tsyu4[23]	ʨiəʔ ʦʮ23
ciq waon	ʨiəʔ ɦuɑ̃
ciq zeq	ʨiəʔ zəʔ
ciq zeq khe tsan	ʨiəʔ zəʔ kʰᴇ ʦã
ciq43	ʨiəʔ43
ciq7	ʨiəʔ43
ciq8	ʨiəʔ23
ciq[43]	ʨiəʔ43
ciu	ʨy
ciu ciu	ʨy ʨy
ciu ciu kue iq	ʨy ʨy kuᴇ iəʔ
ciu keq	ʨy kəʔ
ciu leu	ʨy løʏ
ciu li	ʨy li
ciu moe deu	ʨy mø døʏ
ciu moq	ʨy moʔ
ciu ng40	ʨy ŋ4
ciu seq	ʨy səʔ
ciu seu	ʨy søʏ
ciu so ng	ʨy so ŋ
ciu sy iq sen	ʨy sɿ iəʔ sən
ciu taeq taeq[52]30	ʨy taʔ taʔ52
ciu tiq[52]3 tshin phaon khue440	ʨy tiəʔ52 ʦʰin pʰɑ̃ kʰuᴇ44
ciu zeq ci keq	ʨy zəʔ ʨi kəʔ
ciu zy	ʨy zɿ
ciu zyu	ʨy zʮ
ciu1	ʨy44
ciu231	ʨy231
ciu3	ʨy51
ciu5	ʨy523
ciueh	ʨyəʔ
ciueh lih ghuaon	ʨyəʔ liəʔ ɦuɑ̃
ciun chioe	ʨyn ʨʰiø
ciun mau	ʨyn mæ
ciun tsaon	ʨyn ʦɑ̃
ciun zen	ʨyn zən
ciun1	ʨyn44
ciun3	ʨyn51
ciun5	ʨyn523
ciuq ghon kau	ʨyəʔ ɦoŋ kæ
ciuq7	ʨyəʔ43
da bie	dɑ biɪ
da ciaq	dɑ ʨiɑʔ
da ciaq pu	dɑ ʨiɑʔ pu
da deu	dɑ døʏ
da deu tshe	dɑ døʏ ʦʰᴇ
da faon23	dɑ fɑ̃23
da fi	dɑ fi
da ghoq	dɑ ɦoʔ
da han23	dɑ xã23
da i	dɑ i
da i zaon tsoh	dɑ i zɑ̃ ʦoʔ
da i zaon230	dɑ i zɑ̃23
da iaq mo tsan2340	dɑ iɑʔ mo ʦã234
da iaq moq tsan	dɑ iɑʔ moʔ ʦã
da iq phu syu	dɑ iəʔ pʰu sʮ
da iq phu45[23]	dɑ iəʔ pʰu23
da ka	dɑ kɑ
da kha23	dɑ kʰɑ23
da khau	dɑ kʰæ
da kou23	dɑ kəu23
da li cioq	dɑ li ʨioʔ
da lian phu syu	dɑ liã pʰu sʮ
da lie	dɑ liɪ
da maq23	dɑ mɑʔ23
da pin23	dɑ pin23
da seu	dɑ søʏ
da sie	dɑ siɪ
da soe deu230	dɑ sø døʏ23
da soe yiq	dɑ sø ɦiəʔ
da soe23	dɑ sø23
da syu	dɑ sʮ
da tshe	dɑ ʦʰᴇ
da tshe kuoe	dɑ ʦʰᴇ kuø
da voq23	dɑ voʔ23
da yan	dɑ ɦiã
da zy bu230	dɑ zɿ bu23
da zy piq	dɑ zɿ piəʔ
da zyu	dɑ zʮ
da223	dɑ223
da231	dɑ231
da6	dɑ231
daeq cie deu2[51]0	daʔ ʨiɪ døʏ51
daeq dou jin	daʔ dəu ʥin
daeq dou jin2[51]0	daʔ dəu ʥin51
daeq dou2[51]	daʔ dəu51
daeq kau chiau	daʔ kæ ʨʰiæ
daeq mi	daʔ mi
daeq mi ka tsy	daʔ mi kɑ ʦɿ
daeq pe	daʔ pᴇ
daeq saeq34 mo mi23	daʔ saʔ34 mo mi23
daeq syu tsho	daʔ sʮ ʦʰo
daeq thie2[52]3	daʔ tʰiɪ52
daeq23	daʔ23
daeq23 yon223	daʔ23 ɦioŋ223
daeq8	daʔ23
daon be ho	dɑ̃ bᴇ xo
daon bo	dɑ̃ bo
daon deu pe	dɑ̃ døʏ pᴇ
daon di	dɑ̃ di
daon faon	dɑ̃ fɑ̃
daon ghou dau	dɑ̃ ɦəu dæ
daon ghou zoe	dɑ̃ ɦəu zø
daon ghou zoe230	dɑ̃ ɦəu zø23
daon gnie kau230	dɑ̃ ȵiɪ kæ23
daon gnioq	dɑ̃ ȵioʔ
daon huaon23	dɑ̃ xuɑ̃23
daon kou tie	dɑ̃ kəu tiɪ
daon kuoe23	dɑ̃ kuø23
daon laon	dɑ̃ lɑ̃
daon li ng	dɑ̃ li ŋ
daon li ng230	dɑ̃ li ŋ23
daon lie sin	dɑ̃ liɪ sin
daon loq gni tou	dɑ̃ loʔ ȵi təu
daon me	dɑ̃ mᴇ
daon me mau	dɑ̃ mᴇ mæ
daon min	dɑ̃ min
daon mo lou230	dɑ̃ mo ləu23
daon se li	dɑ̃ sᴇ li
daon shion	dɑ̃ ɕioŋ
daon syu se paq seu	dɑ̃ sʮ sᴇ pɑʔ søʏ
daon teq leu leu2340	dɑ̃ təʔ løʏ løʏ234
daon tsan	dɑ̃ ʦã
daon tshau liq tsy	dɑ̃ ʦʰæ liəʔ ʦɿ
daon tsheu tshie	dɑ̃ ʦʰøʏ ʦʰiɪ
daon tshie	dɑ̃ ʦʰiɪ
daon tshie kau	dɑ̃ ʦʰiɪ kæ
daon tshou da soe	dɑ̃ ʦʰəu dɑ sø
daon tsia	dɑ̃ ʦiɑ
daon tsoq23	dɑ̃ ʦoʔ23
daon vaon aeq kou2340	dɑ̃ vɑ̃ aʔ kəu234
daon vaon aeq tsia2340	dɑ̃ vɑ̃ aʔ ʦiɑ234
daon vaon di shion2349	dɑ̃ vɑ̃ di ɕioŋ2349
daon vaon me tsy2340	dɑ̃ vɑ̃ mᴇ ʦɿ234
daon vaon shion di2340	dɑ̃ vɑ̃ ɕioŋ di234
daon vaon tsi me2340	dɑ̃ vɑ̃ ʦi mᴇ234
daon veq seu	dɑ̃ vəʔ søʏ
daon yeu ciau	dɑ̃ ɦiʏ ʨiæ
daon yu na230	dɑ̃ ɦy nɑ23
daon2	dɑ̃223
daon231	dɑ̃231
daon6	dɑ̃231
daq8	dɑʔ23
dau boe23	dæ bø23
dau chi tie	dæ ʨʰi tiɪ
dau di	dæ di
dau die23	dæ diɪ23
dau ghoe	dæ ɦø
dau gnin	dæ ȵin
dau ho	dæ xo
dau ho syu	dæ xo sʮ
dau le feq le2340	dæ lᴇ fəʔ lᴇ234
dau li23	dæ li23
dau lou23	dæ ləu23
dau mi ve leu	dæ mi vᴇ løʏ
dau mi23	dæ mi23
dau sou	dæ səu
dau te	dæ tᴇ
dau thaon	dæ tʰɑ̃
dau tsy	dæ ʦɿ
dau tsy deu	dæ ʦɿ døʏ
dau tsy23	dæ ʦɿ23
dau waon me	dæ ɦuɑ̃ mᴇ
dau za	dæ zɑ
dau za hue	dæ zɑ xuᴇ
dau zan	dæ zã
dau zaon	dæ zɑ̃
dau zy23	dæ zɿ23
dau zyu	dæ zʮ
dau zyu deu230	dæ zʮ døʏ23
dau2	dæ223
dau223	dæ223
dau231	dæ231
dau6	dæ231
de aeh	dᴇ aʔ
de baq	dᴇ bɑʔ
de chi deu	dᴇ ʨʰi døʏ
de de	dᴇ dᴇ
de de ho230	dᴇ dᴇ xo23
de de23	dᴇ dᴇ23
de de[23]1 nge tsin23	dᴇ dᴇ23 ŋᴇ ʦin23
de fen sie	dᴇ fən siɪ
de fon	dᴇ foŋ
de ghuaon tshen	dᴇ ɦuɑ̃ ʦʰən
de hou tsen	dᴇ xəu ʦən
de huaon	dᴇ xuɑ̃
de lau se230	dᴇ læ sᴇ23
de me	dᴇ mᴇ
de mie ho	dᴇ miɪ xo
de ngan23	dᴇ ŋã23
de nge loq tsin	dᴇ ŋᴇ loʔ ʦin
de nge tsin	dᴇ ŋᴇ ʦin
de piq kou230	dᴇ piəʔ kəu23
de pu23	dᴇ pu23
de shian	dᴇ ɕiã
de shian ke le	dᴇ ɕiã kᴇ lᴇ
de shian soe	dᴇ ɕiã sø
de sie	dᴇ siɪ
de sin ue	dᴇ sin uᴇ
de syu tsin	dᴇ sʮ ʦin
de ten	dᴇ tən
de thaon	dᴇ tʰɑ̃
de the	dᴇ tʰᴇ
de thie le	dᴇ tʰiɪ lᴇ
de tshe	dᴇ ʦʰᴇ
de tsy kuaeq taeq2340	dᴇ ʦɿ kuaʔ taʔ234
de tsy laon	dᴇ ʦɿ lɑ̃
de tsy23	dᴇ ʦɿ23
de ue ziq	dᴇ uᴇ ziəʔ
de waon ho sen	dᴇ ɦuɑ̃ xo sən
de waon sou	dᴇ ɦuɑ̃ səu
de waon zaon	dᴇ ɦuɑ̃ zɑ̃
de zo	dᴇ zo
de zy23	dᴇ zɿ23
de2	dᴇ223
de231	dᴇ231
de6	dᴇ231
den kau yu	dən kæ ɦy
den loe	dən lø
den sian	dən siã
den thaeq tshon230	dən tʰaʔ ʦʰoŋ23
den thaeq23	dən tʰaʔ23
den tshaon taeq tshaon2340	dən ʦʰɑ̃ taʔ ʦʰɑ̃234
den tshin	dən ʦʰin
den2	dən223
den6	dən231
deq leq di gho	dəʔ ləʔ di ɦo
deq leq di laon	dəʔ ləʔ di lɑ̃
deq loe loe2[51]0	dəʔ lø lø51
deq theq	dəʔ tʰəʔ
deq theq zy	dəʔ tʰəʔ zɿ
deq23	dəʔ23
deq8	dəʔ23
deq[23] deu faeq23	dəʔ23 døʏ faʔ23
deu ba	døʏ bɑ
deu be	døʏ bᴇ
deu bi	døʏ bi
deu bi siq	døʏ bi siəʔ
deu cin23	døʏ ʨin23
deu ciu	døʏ ʨy
deu die	døʏ diɪ
deu faeq doe230	døʏ faʔ dø23
deu faeq po	døʏ faʔ po
deu faeq tshe	døʏ faʔ ʦʰᴇ
deu faeq23	døʏ faʔ23
deu gni seq keq	døʏ ȵi səʔ kəʔ
deu gnin	døʏ ȵin
deu huen23	døʏ xuən23
deu ka	døʏ kɑ
deu kaeq tsiq	døʏ kaʔ ʦiəʔ
deu kan	døʏ kã
deu li thon230	døʏ li tʰoŋ23
deu lian gnie	døʏ liã ȵiɪ
deu lian gniq	døʏ liã ȵiəʔ
deu lian keq ngeq	døʏ liã kəʔ ŋəʔ
deu lian keq230	døʏ liã kəʔ23
deu mie	døʏ miɪ
deu ng deu loq	døʏ ŋ døʏ loʔ
deu ngeu	døʏ ŋøʏ
deu pe tsian230	døʏ pᴇ ʦiã23
deu phu	døʏ pʰu
deu phu23	døʏ pʰu23
deu pin	døʏ pin
deu san23	døʏ sã23
deu seh	døʏ səʔ
deu so	døʏ so
deu so tson	døʏ so ʦoŋ
deu the	døʏ tʰᴇ
deu tin sin230	døʏ tin sin23
deu tshaon	døʏ ʦʰɑ̃
deu tshiq[43]	døʏ ʦʰiəʔ43
deu tsian	døʏ ʦiã
deu tsian tie	døʏ ʦiã tiɪ
deu tsin	døʏ ʦin
deu tsy	døʏ ʦɿ
deu vu bi230	døʏ vu bi23
deu vu ho230	døʏ vu xo23
deu vu i	døʏ vu i
deu vu koe230	døʏ vu kø23
deu vu tie	døʏ vu tiɪ
deu vu tsian230	døʏ vu ʦiã23
deu vu23	døʏ vu23
deu wen	døʏ ɦuən
deu yeu	døʏ ɦiʏ
deu yoe	døʏ ɦiø
deu zen23	døʏ zən23
deu2	døʏ223
deu223	døʏ223
deu223dou231	?
deu231	døʏ231
deu6	døʏ231
di ba	di bɑ
di boe le	di bø lᴇ
di chi	di ʨʰi
di ci	di ʨi
di cin	di ʨin
di deu ciaq kuoe2340	di døʏ ʨiɑʔ kuø234
di di ciaq kuoe2340	di di ʨiɑʔ kuø234
di di23	di di23
di don23	di doŋ23
di faon23	di fɑ̃23
di gho	di ɦo
di gni	di ȵi
di gni keq230	di ȵi kəʔ23
di hou te	di xəu tᴇ
di iq ba	di iəʔ bɑ
di iq keq230	di iəʔ kəʔ23
di iq min230	di iəʔ min23
di iq23	di iəʔ23
di kaon	di kɑ̃
di khan	di kʰã
di khuoe tsy	di kʰuø ʦɿ
di laon	di lɑ̃
di lian	di liã
di loq tshan230	di loʔ ʦʰã23
di maq san sou2340	di mɑʔ sã səu234
di ngoe	di ŋø
di phaon	di pʰɑ̃
di phaon mie	di pʰɑ̃ miɪ
di phaon23	di pʰɑ̃23
di phu23	di pʰu23
di se	di sᴇ
di sen	di sən
di shion dau li2340	di ɕioŋ dæ li234
di shion lian ka deu	di ɕioŋ liã kɑ døʏ
di shion23	di ɕioŋ23
di sin tiau te	di sin tiæ tᴇ
di sin vu230	di sin vu23
di taon tson230	di tɑ̃ ʦoŋ23
di te	di tᴇ
di tsy	di ʦɿ
di tsyu	di ʦʮ
di zen	di zən
di zeq keq230	di zəʔ kəʔ23
di zeq23	di zəʔ23
di1	di44
di2	di223
di231	di231
di6	di231
diau bi	diæ bi
diau cia kuoe	diæ ʨiɑ kuø
diau ciaq	diæ ʨiɑʔ
diau cin	diæ ʨin
diau deu kau	diæ døʏ kæ
diau feq loq230	diæ fəʔ loʔ23
diau koe23	diæ kø23
diau lon ten	diæ loŋ tən
diau lon ten440	diæ loŋ tən44
diau seh	diæ səʔ
diau seq23	diæ səʔ23
diau sy tsy	diæ sɿ ʦɿ
diau tha23	diæ tʰɑ23
diau tshian ho	diæ ʦʰiã xo
diau tshian ho230	diæ ʦʰiã xo23
diau2	diæ223
diau223	diæ223
diau6	diæ231
die chi	diɪ ʨʰi
die ci	diɪ ʨi
die ciaq khou	diɪ ʨiɑʔ kʰəu
die da	diɪ dɑ
die deu	diɪ døʏ
die fon soe	diɪ foŋ sø
die keq ghe keq2340	diɪ kəʔ ɦᴇ kəʔ234
die lou23	diɪ ləu23
die mie tsian230	diɪ miɪ ʦiã23
die ten	diɪ tən
die thaon	diɪ tʰɑ̃
die tsho lou	diɪ ʦʰo ləu
die tshyu	diɪ ʦʰʮ
die vaon	diɪ vɑ̃
die vaon23	diɪ vɑ̃23
die waon gni phaon	diɪ ɦuɑ̃ ȵi pʰɑ̃
die waon phaon	diɪ ɦuɑ̃ pʰɑ̃
die yun teu	diɪ ɦyn tøʏ
die2	diɪ223
die6	diɪ231
die8	diɪ23
din cie23	din ʨiɪ23
din deu hou230	din døʏ xəu23
din ghoq	din ɦoʔ
din kue	din kuᴇ
din sen kau230	din sən kæ23
din sin23	din sin23
din thaon syu	din tʰɑ̃ sʮ
din ziq	din ziəʔ
din zyu23	din zʮ23
din2	din223
din231	din231
din231 bi deu23	din231 bi døʏ23
din6	din231
diq tsheq dou bi	diəʔ ʦʰəʔ dəu bi
diq8	diəʔ23
doe chi la pa2340	dø ʨʰi lɑ pɑ234
doe heq khua	dø xəʔ kʰuɑ
doe ho	dø xo
doe pie	dø piɪ
doe tshiq	dø ʦʰiəʔ
doe tsy	dø ʦɿ
doe tsy23	dø ʦɿ23
doe2	dø223
doe231	dø231
doe6	dø231
don ben lin	doŋ bən lin
don ben mau230	doŋ bən mæ23
don ben zy	doŋ bən zɿ
don chi[23]1	doŋ ʨʰi23
don chioe chioe	doŋ ʨʰiø ʨʰiø
don ciu keq[23]10	doŋ ʨy kəʔ23
don ciu zyu keq[23]110	doŋ ʨy zʮ kəʔ23
don die23	doŋ diɪ23
don din ghon	doŋ din ɦoŋ
don gho deu	doŋ ɦo døʏ
don gnie23	doŋ ȵiɪ23
don ji	doŋ ʥi
don kon23	doŋ koŋ23
don kou	doŋ kəu
don kue	doŋ kuᴇ
don nau cin	doŋ næ ʨin
don pe23	doŋ pᴇ23
don piq thau	doŋ piəʔ tʰæ
don seu	doŋ søʏ
don seu don ciaq	doŋ søʏ doŋ ʨiɑʔ
don taon	doŋ tɑ̃
don tiau	doŋ tiæ
don tiau23	doŋ tiæ23
don tshaq	doŋ ʦʰɑʔ
don tshau	doŋ ʦʰæ
don tsy ci	doŋ ʦɿ ʨi
don yeu	doŋ ɦiʏ
don zian	doŋ ziã
don zian te	doŋ ziã tᴇ
don zian tie	doŋ ziã tiɪ
don zo23	doŋ zo23
don zy	doŋ zɿ
don2	doŋ223
don223	doŋ223
don6	doŋ231
doq ciaq shi	doʔ ʨiɑʔ ɕi
doq deu	doʔ døʏ
doq deu2[51]	doʔ døʏ51
doq doq tsie340	doʔ doʔ ʦiɪ34
doq foq34	doʔ foʔ34
doq iq pie	doʔ iəʔ piɪ
doq lau faeq syu	doʔ læ faʔ sʮ
doq len tsho	doʔ lən ʦʰo
doq nge lon	doʔ ŋᴇ loŋ
doq syu	doʔ sʮ
doq syu gnin	doʔ sʮ ȵin
doq syu tseq230	doʔ sʮ ʦəʔ23
doq tsheq	doʔ ʦʰəʔ
doq tsin	doʔ ʦin
doq zan2[51]	doʔ zã51
doq8	doʔ23
dou a yi	dəu ɑ ɦi
dou aeq jieu	dəu aʔ ʥiʏ
dou ba23	dəu bɑ23
dou ban chi tsan2340	dəu bã ʨʰi ʦã234
dou bi nge230	dəu bi ŋᴇ23
dou bi ngou tse	dəu bi ŋəu ʦᴇ
dou bi ngou230	dəu bi ŋəu23
dou bi thon230	dəu bi tʰoŋ23
dou bi tshaq	dəu bi ʦʰɑʔ
dou bi za	dəu bi zɑ
dou bi za230	dəu bi zɑ23
dou bi23	dəu bi23
dou bu ci	dəu bu ʨi
dou chi maon deu2340	dəu ʨʰi mɑ̃ døʏ234
dou chi23	dəu ʨʰi23
dou chiq	dəu ʨʰiəʔ
dou cin23	dəu ʨin23
dou cioe	dəu ʨiø
dou dau tie230	dəu dæ tiɪ23
dou deu	dəu døʏ
dou deu ghaon tsyu2340	dəu døʏ ɦɑ̃ ʦʮ234
dou deu yu na	dəu døʏ ɦy nɑ
dou diq	dəu diəʔ
dou dou	dəu dəu
dou dou bi230	dəu dəu bi23
dou faon kau	dəu fɑ̃ kæ
dou fon	dəu foŋ
dou foq kou	dəu foʔ kəu
dou gheu gnie230	dəu ɦøʏ ȵiɪ23
dou gheu gniq230	dəu ɦøʏ ȵiəʔ23
dou ghoe	dəu ɦø
dou ghon	dəu ɦoŋ
dou ghon bau	dəu ɦoŋ bæ
dou ghoq deu ve	dəu ɦoʔ døʏ vᴇ
dou ghou zaon	dəu ɦəu zɑ̃
dou gni tsy230	dəu ȵi ʦɿ23
dou gnie ia230	dəu ȵiɪ iɑ23
dou gnie tshou iq	dəu ȵiɪ ʦʰəu iəʔ
dou gnin	dəu ȵin
dou gnioq mie	dəu ȵioʔ miɪ
dou gniq thie	dəu ȵiəʔ tʰiɪ
dou hau lau230	dəu xæ læ23
dou iq poe230	dəu iəʔ pø23
dou jin gon230	dəu ʥin goŋ23
dou khue deu230	dəu kʰuᴇ døʏ23
dou lan thie	dəu lã tʰiɪ
dou lau mo230	dəu læ mo23
dou lou	dəu ləu
dou mau bin230	dəu mæ bin23
dou men	dəu mən
dou men ga deu	dəu mən gɑ døʏ
dou men kheu	dəu mən kʰøʏ
dou men nga	dəu mən ŋɑ
dou meq zy230	dəu məʔ zɿ23
dou mi23	dəu mi23
dou mie	dəu miɪ
dou miq tsiq deu	dəu miəʔ ʦiəʔ døʏ
dou miq tsiq deu2340	dəu miəʔ ʦiəʔ døʏ234
dou moe deu	dəu mø døʏ
dou nge	dəu ŋᴇ
dou nge mi tshi2340	dəu ŋᴇ mi ʦʰi234
dou ngeq	dəu ŋəʔ
dou pau deu	dəu pæ døʏ
dou pe23	dəu pᴇ23
dou peq khou230 siau soe[52]1	dəu pəʔ kʰəu23 siæ sø52
dou phaon23	dəu pʰɑ̃23
dou phau zan	dəu pʰæ zã
dou pi poq	dəu pi poʔ
dou poe gniq	dəu pø ȵiəʔ
dou poe ia	dəu pø iɑ
dou san weq230	dəu sã ɦuəʔ23
dou shi	dəu ɕi
dou si gniq230	dəu si ȵiəʔ23
dou siau tsia	dəu siæ ʦiɑ
dou sie san	dəu siɪ sã
dou siq23	dəu siəʔ23
dou soq	dəu soʔ
dou syu	dəu sʮ
dou syu23	dəu sʮ23
dou taon	dəu tɑ̃
dou teu23	dəu tøʏ23
dou tha yan	dəu tʰɑ ɦiã
dou thaon uoe230	dəu tʰɑ̃ uø23
dou thin	dəu tʰin
dou tsan23	dəu ʦã23
dou tshe23	dəu ʦʰᴇ23
dou tshin lau tsau	dəu ʦʰin læ ʦæ
dou tsia	dəu ʦiɑ
dou tson san	dəu ʦoŋ sã
dou tsou keq230	dəu ʦəu kəʔ23
dou tsy	dəu ʦɿ
dou tsy sie	dəu ʦɿ siɪ
dou tsy[52]3	dəu ʦɿ52
dou voq23	dəu voʔ23
dou wen den	dəu ɦuən dən
dou yoe sen	dəu ɦiø sən
dou yu23	dəu ɦy23
dou zaeq ha	dəu zaʔ xɑ
dou zan yan230	dəu zã ɦiã23
dou zan23	dəu zã23
dou zaq hue jiau	dəu zɑʔ xuᴇ ʥiæ
dou zeq deu230	dəu zəʔ døʏ23
dou zi nge230	dəu zi ŋᴇ23
dou zie gnie tsy2340	dəu ziɪ ȵiɪ ʦɿ234
dou zie gniq	dəu ziɪ ȵiəʔ
dou zyu	dəu zʮ
dou2	dəu223
dou231	dəu231
dou6	dəu231
e keq	ᴇ kəʔ
e keq ghau deu4440	ᴇ kəʔ ɦæ døʏ444
e keq ngeq	ᴇ kəʔ ŋəʔ
e keq ngeq440	ᴇ kəʔ ŋəʔ44
e keq40	ᴇ kəʔ4
e shiq	ᴇ ɕiəʔ
e shiq we5[23]0	ᴇ ɕiəʔ ɦuᴇ23
e shiq[52]3	ᴇ ɕiəʔ52
e sin dau230	ᴇ sin dæ23
e siq40	ᴇ siəʔ4
e taeq the440	ᴇ taʔ tʰᴇ44
e taeq tie440	ᴇ taʔ tiɪ44
e taeq40	ᴇ taʔ4
e tie40	ᴇ tiɪ4
e tshian syu li	ᴇ ʦʰiã sʮ li
e tson ka keq4440	ᴇ ʦoŋ kɑ kəʔ444
e tson40	ᴇ ʦoŋ4
e tsyu40	ᴇ ʦʮ4
e zan	ᴇ zã
e zan40	ᴇ zã4
e1	ᴇ44
e3	ᴇ51
e5	ᴇ523
en taon[52]3	ən tɑ̃52
en1	ən44
eq seq	əʔ səʔ
eq teq feq tsoe4420	əʔ təʔ fəʔ ʦø442
eq7	əʔ43
er paq ou230	əl pɑʔ əu23
er1	əl44
er6	əl231
eu1	øʏ44
eu3	øʏ51
eu5	øʏ523
eu51	øʏ51
faeq bi chi	faʔ bi ʨʰi
faeq don5[51]	faʔ doŋ51
faeq dou syu	faʔ dəu sʮ
faeq ghoe gniq	faʔ ɦø ȵiəʔ
faeq ghoq	faʔ ɦoʔ
faeq jiq pon440	faʔ ʥiəʔ poŋ44
faeq kaeq	faʔ kaʔ
faeq kaeq44	faʔ kaʔ44
faeq kau fen4[23]0	faʔ kæ fən23
faeq kueq ngou don	faʔ kuəʔ ŋəu doŋ
faeq lan	faʔ lã
faeq lan sin5[51]0	faʔ lã sin51
faeq mie	faʔ miɪ
faeq nga deu	faʔ ŋɑ døʏ
faeq ngoq tsy	faʔ ŋoʔ ʦɿ
faeq paon	faʔ pɑ̃
